BA,Month,Hour,Transportation_Load_Penetration_Percentage
BPAT,8,8,2.22
BPAT,8,8,2.17
BPAT,8,8,2.49
BPAT,8,8,2.91
BPAT,9,9,3.98
BPAT,9,9,4.83
BPAT,9,9,4.34
BPAT,9,9,3.47
BPAT,9,9,3.15
BPAT,9,9,2.86
BPAT,9,9,2.51
BPAT,9,9,1.98
BPAT,9,9,1.63
BPAT,9,9,1.39
BPAT,9,9,1.21
BPAT,9,9,1.1
BPAT,9,9,1.16
BPAT,9,9,1.55
BPAT,9,9,2.37
BPAT,9,9,3.21
BPAT,9,9,2.94
BPAT,9,9,2.78
BPAT,9,9,2.52
BPAT,9,9,2.5
BPAT,9,9,2.52
BPAT,9,9,2.55
BPAT,9,9,2.91
BPAT,9,9,3.63
BPAT,10,10,4.37
BPAT,10,10,4.81
BPAT,10,10,4.31
BPAT,10,10,3.9
BPAT,10,10,3.36
BPAT,10,10,3.04
BPAT,10,10,2.66
BPAT,10,10,2.11
BPAT,10,10,1.72
BPAT,10,10,1.47
BPAT,10,10,1.3
BPAT,10,10,1.29
BPAT,10,10,1.16
BPAT,10,10,1.53
BPAT,10,10,2.28
BPAT,10,10,3.17
BPAT,10,10,2.96
BPAT,10,10,2.79
BPAT,10,10,2.6
BPAT,10,10,2.59
BPAT,10,10,2.65
BPAT,10,10,2.69
BPAT,10,10,3.08
BPAT,10,10,3.56
BPAT,11,11,3.79
BPAT,11,11,4.16
